kanji;kankenLevel
一;10
右;10
雨;10
円;10
王;10
音;10
下;10
火;10
花;10
貝;10
学;10
気;10
九;10
休;10
金;10
玉;10
空;10
犬;10
見;10
月;10
口;10
校;10
五;10
左;10
三;10
山;10
子;10
四;10
糸;10
七;10
車;10
手;10
出;10
小;10
森;10
耳;10
字;10
十;10
女;10
上;10
人;10
水;10
生;10
正;10
青;10
夕;10
石;10
赤;10
千;10
川;10
先;10
早;10
草;10
足;10
村;10
大;10
男;10
竹;10
中;10
虫;10
町;10
天;10
田;10
土;10
二;10
日;10
入;10
年;10
白;10
八;10
百;10
文;10
本;10
木;10
名;10
目;10
立;10
力;10
林;10
六;10
引;9
羽;9
雲;9
遠;9
園;9
何;9
科;9
夏;9
家;9
歌;9
回;9
会;9
海;9
絵;9
角;9
活;9
間;9
画;9
外;9
楽;9
丸;9
岩;9
顔;9
汽;9
記;9
帰;9
弓;9
京;9
強;9
教;9
近;9
牛;9
魚;9
兄;9
形;9
計;9
元;9
言;9
原;9
戸;9
古;9
工;9
公;9
広;9
光;9
考;9
行;9
交;9
高;9
黄;9
谷;9
国;9
黒;9
今;9
午;9
後;9
語;9
合;9
才;9
細;9
作;9
算;9
止;9
矢;9
市;9
姉;9
思;9
紙;9
室;9
社;9
首;9
秋;9
週;9
春;9
書;9
少;9
色;9
食;9
心;9
新;9
親;9
自;9
寺;9
時;9
弱;9
場;9
数;9
図;9
西;9
声;9
星;9
晴;9
切;9
雪;9
船;9
線;9
前;9
組;9
走;9
多;9
太;9
体;9
台;9
地;9
池;9
知;9
茶;9
昼;9
長;9
鳥;9
朝;9
直;9
通;9
弟;9
店;9
点;9
電;9
刀;9
冬;9
当;9
東;9
答;9
頭;9
同;9
道;9
読;9
内;9
南;9
肉;9
半;9
馬;9
売;9
買;9
麦;9
番;9
父;9
風;9
分;9
聞;9
米;9
歩;9
方;9
北;9
母;9
毎;9
妹;9
万;9
明;9
鳴;9
毛;9
門;9
夜;9
野;9
友;9
用;9
曜;9
来;9
里;9
理;9
話;9
悪;8
安;8
暗;8
医;8
委;8
意;8
育;8
院;8
員;8
飲;8
運;8
泳;8
駅;8
央;8
横;8
屋;8
温;8
化;8
荷;8
界;8
開;8
階;8
寒;8
感;8
漢;8
館;8
岸;8
起;8
期;8
客;8
究;8
級;8
急;8
宮;8
球;8
去;8
橋;8
曲;8
局;8
業;8
銀;8
区;8
苦;8
君;8
具;8
係;8
軽;8
血;8
決;8
県;8
研;8
庫;8
湖;8
向;8
幸;8
港;8
根;8
号;8
祭;8
皿;8
仕;8
死;8
始;8
使;8
指;8
歯;8
詩;8
式;8
写;8
者;8
主;8
守;8
取;8
酒;8
州;8
拾;8
終;8
習;8
集;8
宿;8
所;8
暑;8
昭;8
消;8
章;8
商;8
勝;8
植;8
申;8
身;8
神;8
真;8
進;8
深;8
次;8
事;8
持;8
実;8
受;8
住;8
重;8
助;8
乗;8
世;8
整;8
昔;8
全;8
相;8
送;8
想;8
速;8
息;8
族;8
他;8
対;8
待;8
炭;8
短;8
打;8
代;8
第;8
題;8
談;8
着;8
注;8
柱;8
丁;8
帳;8
調;8
追;8
定;8
庭;8
笛;8
鉄;8
転;8
都;8
豆;8
投;8
島;8
登;8
等;8
湯;8
度;8
動;8
童;8
農;8
波;8
配;8
箱;8
畑;8
発;8
反;8
坂;8
板;8
倍;8
皮;8
悲;8
筆;8
氷;8
表;8
品;8
美;8
鼻;8
秒;8
病;8
負;8
服;8
福;8
部;8
物;8
平;8
返;8
勉;8
放;8
味;8
命;8
面;8
問;8
役;8
薬;8
由;8
油;8
有;8
遊;8
予;8
羊;8
洋;8
葉;8
陽;8
様;8
落;8
流;8
旅;8
両;8
緑;8
礼;8
列;8
練;8
路;8
和;8
愛;7
案;7
以;7
衣;7
位;7
茨;7
印;7
英;7
栄;7
媛;7
塩;7
岡;7
億;7
加;7
果;7
貨;7
課;7
改;7
械;7
各;7
覚;7
潟;7
完;7
官;7
管;7
関;7
観;7
芽;7
賀;7
害;7
街;7
願;7
岐;7
希;7
季;7
旗;7
器;7
機;7
求;7
泣;7
給;7
挙;7
共;7
協;7
鏡;7
競;7
極;7
議;7
漁;7
熊;7
訓;7
軍;7
郡;7
群;7
径;7
景;7
欠;7
結;7
建;7
健;7
験;7
芸;7
固;7
功;7
好;7
香;7
候;7
康;7
佐;7
差;7
菜;7
埼;7
最;7
崎;7
昨;7
札;7
刷;7
察;7
参;7
産;7
散;7
材;7
残;7
氏;7
司;7
試;7
鹿;7
失;7
借;7
種;7
周;7
祝;7
初;7
松;7
笑;7
唱;7
焼;7
照;7
臣;7
信;7
児;7
治;7
滋;7
辞;7
順;7
城;7
縄;7
井;7
成;7
省;7
清;7
静;7
席;7
積;7
折;7
節;7
説;7
浅;7
戦;7
選;7
然;7
争;7
倉;7
巣;7
束;7
側;7
卒;7
孫;7
続;7
帯;7
隊;7
達;7
単;7
置;7
仲;7
沖;7
兆;7
低;7
底;7
的;7
典;7
伝;7
徒;7
灯;7
特;7
徳;7
栃;7
努;7
働;7
奈;7
梨;7
熱;7
念;7
敗;7
博;7
阪;7
飯;7
梅;7
飛;7
必;7
票;7
標;7
不;7
夫;7
付;7
阜;7
府;7
富;7
副;7
兵;7
辺;7
変;7
別;7
便;7
包;7
法;7
望;7
牧;7
末;7
満;7
未;7
民;7
無;7
約;7
勇;7
要;7
養;7
浴;7
利;7
陸;7
良;7
料;7
量;7
輪;7
類;7
令;7
冷;7
例;7
連;7
老;7
労;7
録;7
圧;6
囲;6
移;6
因;6
永;6
営;6
衛;6
易;6
益;6
液;6
演;6
応;6
往;6
桜;6
可;6
仮;6
河;6
価;6
過;6
快;6
解;6
格;6
確;6
刊;6
幹;6
慣;6
額;6
眼;6
紀;6
規;6
基;6
寄;6
喜;6
久;6
旧;6
救;6
居;6
許;6
境;6
均;6
禁;6
技;6
義;6
逆;6
句;6
型;6
経;6
潔;6
件;6
険;6
検;6
限;6
現;6
減;6
故;6
個;6
効;6
厚;6
耕;6
航;6
鉱;6
構;6
興;6
講;6
告;6
混;6
護;6
査;6
再;6
災;6
妻;6
採;6
際;6
殺;6
酸;6
賛;6
在;6
財;6
罪;6
雑;6
士;6
支;6
史;6
志;6
枝;6
師;6
資;6
飼;6
識;6
質;6
舎;6
謝;6
修;6
招;6
証;6
象;6
賞;6
織;6
職;6
示;6
似;6
授;6
述;6
術;6
準;6
序;6
条;6
状;6
常;6
情;6
制;6
性;6
政;6
勢;6
精;6
製;6
責;6
績;6
設;6
接;6
税;6
絶;6
祖;6
素;6
総;6
則;6
測;6
率;6
損;6
造;6
増;6
像;6
属;6
貸;6
態;6
団;6
断;6
築;6
貯;6
張;6
停;6
程;6
提;6
適;6
統;6
得;6
堂;6
銅;6
導;6
毒;6
独;6
任;6
燃;6
能;6
破;6
犯;6
判;6
版;6
比;6
肥;6
非;6
費;6
評;6
貧;6
備;6
布;6
婦;6
復;6
複;6
粉;6
武;6
仏;6
編;6
弁;6
保;6
報;6
豊;6
墓;6
防;6
貿;6
暴;6
脈;6
務;6
夢;6
迷;6
綿;6
輸;6
余;6
容;6
略;6
留;6
領;6
歴;6
胃;5
異;5
遺;5
域;5
宇;5
映;5
延;5
沿;5
恩;5
灰;5
拡;5
革;5
閣;5
割;5
株;5
干;5
看;5
巻;5
簡;5
我;5
危;5
机;5
貴;5
揮;5
吸;5
供;5
胸;5
郷;5
筋;5
勤;5
疑;5
系;5
敬;5
警;5
穴;5
券;5
絹;5
権;5
憲;5
劇;5
激;5
源;5
厳;5
己;5
呼;5
后;5
孝;5
皇;5
紅;5
降;5
鋼;5
刻;5
穀;5
骨;5
困;5
誤;5
砂;5
済;5
裁;5
策;5
冊;5
蚕;5
座;5
至;5
私;5
姿;5
視;5
詞;5
誌;5
射;5
捨;5
尺;5
収;5
宗;5
衆;5
就;5
縮;5
処;5
署;5
諸;5
承;5
将;5
傷;5
障;5
針;5
磁;5
若;5
樹;5
従;5
縦;5
熟;5
純;5
除;5
蒸;5
仁;5
垂;5
推;5
寸;5
盛;5
聖;5
誠;5
宣;5
専;5
染;5
泉;5
洗;5
銭;5
舌;5
善;5
奏;5
窓;5
装;5
創;5
層;5
操;5
存;5
尊;5
蔵;5
臓;5
退;5
宅;5
担;5
探;5
誕;5
段;5
暖;5
値;5
宙;5
忠;5
著;5
庁;5
頂;5
腸;5
潮;5
賃;5
痛;5
敵;5
展;5
党;5
討;5
糖;5
届;5
難;5
乳;5
認;5
納;5
脳;5
派;5
拝;5
背;5
肺;5
俳;5
班;5
晩;5
否;5
批;5
秘;5
俵;5
腹;5
奮;5
並;5
陛;5
閉;5
片;5
補;5
宝;5
訪;5
暮;5
亡;5
忘;5
棒;5
枚;5
幕;5
密;5
盟;5
模;5
訳;5
郵;5
優;5
預;5
幼;5
翌;5
欲;5
卵;5
乱;5
覧;5
裏;5
律;5
臨;5
朗;5
論;5
握;4
扱;4
依;4
威;4
為;4
偉;4
違;4
維;4
緯;4
壱;4
芋;4
陰;4
隠;4
鋭;4
影;4
越;4
援;4
鉛;4
煙;4
縁;4
汚;4
押;4
奥;4
憶;4
菓;4
暇;4
箇;4
介;4
戒;4
皆;4
壊;4
較;4
獲;4
刈;4
甘;4
汗;4
乾;4
勧;4
監;4
歓;4
環;4
鑑;4
雅;4
含;4
祈;4
奇;4
鬼;4
幾;4
輝;4
詰;4
却;4
脚;4
及;4
丘;4
朽;4
巨;4
拠;4
距;4
凶;4
叫;4
狂;4
況;4
狭;4
恐;4
響;4
驚;4
戯;4
儀;4
御;4
仰;4
駆;4
屈;4
掘;4
繰;4
恵;4
継;4
傾;4
肩;4
兼;4
軒;4
剣;4
圏;4
堅;4
遣;4
迎;4
撃;4
玄;4
枯;4
誇;4
鼓;4
抗;4
攻;4
更;4
荒;4
恒;4
項;4
稿;4
込;4
婚;4
互;4
豪;4
鎖;4
彩;4
載;4
歳;4
咲;4
惨;4
剤;4
旨;4
伺;4
刺;4
脂;4
紫;4
雌;4
執;4
芝;4
斜;4
煮;4
釈;4
朱;4
狩;4
趣;4
舟;4
秀;4
襲;4
瞬;4
召;4
床;4
沼;4
称;4
紹;4
詳;4
殖;4
触;4
飾;4
侵;4
振;4
浸;4
寝;4
慎;4
震;4
薪;4
寂;4
需;4
柔;4
獣;4
巡;4
旬;4
盾;4
丈;4
畳;4
尽;4
陣;4
尋;4
吹;4
姓;4
征;4
跡;4
占;4
扇;4
鮮;4
是;4
訴;4
僧;4
燥;4
騒;4
即;4
贈;4
俗;4
耐;4
替;4
沢;4
拓;4
丹;4
淡;4
嘆;4
端;4
濁;4
脱;4
弾;4
致;4
恥;4
遅;4
蓄;4
跳;4
徴;4
澄;4
沈;4
珍;4
抵;4
堤;4
摘;4
滴;4
添;4
殿;4
吐;4
途;4
渡;4
到;4
逃;4
透;4
唐;4
桃;4
倒;4
盗;4
塔;4
稲;4
踏;4
闘;4
峠;4
突;4
奴;4
怒;4
胴;4
鈍;4
曇;4
弐;4
悩;4
濃;4
杯;4
輩;4
迫;4
拍;4
泊;4
薄;4
髪;4
般;4
販;4
搬;4
範;4
繁;4
爆;4
抜;4
罰;4
盤;4
彼;4
疲;4
被;4
避;4
匹;4
浜;4
尾;4
微;4
描;4
敏;4
怖;4
浮;4
普;4
腐;4
膚;4
賦;4
敷;4
幅;4
払;4
噴;4
舞;4
柄;4
壁;4
捕;4
舗;4
抱;4
砲;4
峰;4
忙;4
坊;4
肪;4
冒;4
帽;4
傍;4
凡;4
盆;4
慢;4
漫;4
妙;4
眠;4
矛;4
霧;4
娘;4
茂;4
猛;4
網;4
黙;4
紋;4
躍;4
雄;4
与;4
誉;4
腰;4
